Function                                                                                                                                                                                                                                                                                                                                                                                         Module                     CPU Time  Spin Time  Overhead Time
tiny_cnn::fully_connected_layer<tiny_cnn::activation::tan_h, tiny_cnn::filter_none>::back_propagation_2nd                                                                                                                                                                                                                                                                                        cnn                          0.006s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.005s         0s         0.005s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.005s         0s             0s
_INTERNAL_32_______src_tbb_private_server_cpp_3f34bbdd::__TBB_machine_fetchstore4                                                                                                                                                                                                                                                                                                                libtbb.so.2                  0.005s         0s             0s
tbb::internal::machine_load_store_relaxed<unsigned long, (unsigned long)8>::load                                                                                                                                                                                                                                                                                                                 libtbb.so.2                  0.005s         0s         0.005s
tiny_cnn::input_layer::forward_propagation                                                                                                                                                                                                                                                                                                                                                       cnn                          0.005s         0s             0s
[Import thunk operator new]                                                                                                                                                                                                                                                                                                                                                                      cnn                          0.004s         0s             0s
_INTERNAL_32_______src_tbb_private_server_cpp_3f34bbdd::__TBB_machine_cmpswp1                                                                                                                                                                                                                                                                                                                    libtbb.so.2                  0.004s         0s             0s
__add                                                                                                                                                                                                                                                                                                                                                                                            libm-2.12.so                 0.004s         0s             0s
tbb::internal::basic_tls<tbb::internal::generic_scheduler*>::get                                                                                                                                                                                                                                                                                                                                 libtbb.so.2                  0.004s         0s             0s
tbb::internal::binary_semaphore::V                                                                                                                                                                                                                                                                                                                                                               libtbb.so.2                  0.004s         0s             0s
tiny_cnn::convolutional_layer<tiny_cnn::activation::tan_h, tiny_cnn::filter_none>::init_connection                                                                                                                                                                                                                                                                                               cnn                          0.004s         0s             0s
[TBB Dispatch Loop]                                                                                                                                                                                                                                                                                                                                                                              libtbb.so.2                  0.003s         0s         0.003s
_ZN8tiny_cnn4for_IZNS_23partial_connected_layerINS_10activation5tan_hEE16back_propagationERKSt6vectorIdSaIdEEmEUlRKN3tbb13blocked_rangeIiEEE_EEvbiiT_                                                                                                                                                                                                                                            cnn                          0.003s         0s             0s
__cpy                                                                                                                                                                                                                                                                                                                                                                                            libm-2.12.so                 0.003s         0s             0s
func@0xa690                                                                                                                                                                                                                                                                                                                                                                                      libittnotify_collector.so    0.003s         0s             0s
hack_digit.15675                                                                                                                                                                                                                                                                                                                                                                                 libc-2.12.so                 0.003s         0s             0s
std::vector<std::vector<double, std::allocator<double>>, std::allocator<std::vector<double, std::allocator<double>>>>::~vector                                                                                                                                                                                                                                                                   cnn                          0.003s         0s             0s
tbb::internal::allocate_root_with_context_proxy::allocate                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.003s         0s             0s
tbb::internal::basic_tls<tbb::internal::generic_scheduler*>::get                                                                                                                                                                                                                                                                                                                                 libtbb.so.2                  0.003s         0s             0s
tbb::internal::governor::local_scheduler                                                                                                                                                                                                                                                                                                                                                         libtbb.so.2                  0.003s         0s         0.003s
tbb::spin_rw_mutex_v3::internal_acquire_writer                                                                                                                                                                                                                                                                                                                                                   libtbb.so.2                  0.003s     0.003s             0s
tiny_cnn::gradient_descent_levenberg_marquardt::update                                                                                                                                                                                                                                                                                                                                           cnn                          0.003s         0s             0s
tiny_cnn::network<tiny_cnn::mse, tiny_cnn::gradient_descent_levenberg_marquardt>::out_dim                                                                                                                                                                                                                                                                                                        cnn                          0.003s         0s             0s
[Import thunk free]                                                                                                                                                                                                                                                                                                                                                                              libstdc++.so.6.0.13          0.002s         0s             0s
[Import thunk malloc]                                                                                                                                                                                                                                                                                                                                                                            libstdc++.so.6.0.13          0.002s         0s             0s
[Import thunk tbb::task::note_affinity]                                                                                                                                                                                                                                                                                                                                                          cnn                          0.002s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.002s         0s         0.002s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.002s         0s         0.002s
_IO_vfprintf                                                                                                                                                                                                                                                                                                                                                                                     libc-2.12.so                 0.002s         0s             0s
__TBB_TryLockByte                                                                                                                                                                                                                                                                                                                                                                                libtbb.so.2                  0.002s         0s             0s
__itt_sync_cancel                                                                                                                                                                                                                                                                                                                                                                                libittnotify_collector.so    0.002s         0s             0s
__mpn_mul_1                                                                                                                                                                                                                                                                                                                                                                                      libc-2.12.so                 0.002s         0s             0s
malloc_consolidate                                                                                                                                                                                                                                                                                                                                                                               libc-2.12.so                 0.002s         0s             0s
memmove                                                                                                                                                                                                                                                                                                                                                                                          libc-2.12.so                 0.002s         0s             0s
std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release                                                                                                                                                                                                                                                                                                                                    cnn                          0.002s         0s             0s
tbb::internal::machine_load_store<int, (unsigned long)4>::load_with_acquire                                                                                                                                                                                                                                                                                                                      libtbb.so.2                  0.002s         0s             0s
tbb::internal::machine_load_store<int, (unsigned long)4>::load_with_acquire                                                                                                                                                                                                                                                                                                                      libtbb.so.2                  0.002s         0s             0s
tbb::internal::machine_load_store<int, (unsigned long)4>::load_with_acquire                                                                                                                                                                                                                                                                                                                      libtbb.so.2                  0.002s         0s             0s
